country,freedomhouse_score,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
Fiji,59.0,,35.58,41.83,47.03,48.57,9.29,41.08,54.25,
Faroe Islands,,,,80.12,73.61,,4.17,,4.45,
Ethiopia,12.0,,8.59,51.85,54.03,55.80,33.91,58.50,79.40,
Estonia,94.0,177.01,74.38,77.02,68.84,51.16,9.10,25.03,20.21,64.28
Eritrea,3.0,,,69.75,,,26.43,,15.52,
Egypt,26.0,86.79,23.43,52.35,45.36,30.02,12.86,49.09,85.73,91.98
Denmark,97.0,195.40,107.48,75.33,79.59,83.90,7.41,29.17,21.20,82.29
Dominican Republic,,82.91,23.78,39.42,54.19,45.03,13.42,40.87,78.36,67.82
Dominica,93.0,,,45.66,38.89,,1.11,,,
Equatorial Guinea,,,,60.45,42.59,,8.92,20.50,59.85,
Djibouti,26.0,,41.09,32.70,,68.88,3.94,38.25,55.80,
El Salvador,,,27.55,30.84,54.35,46.89,13.58,42.00,79.60,
Ecuador,60.0,126.08,38.76,49.52,70.69,42.73,12.26,37.85,56.79,92.59
Czech Republic,,160.19,69.81,74.30,74.79,45.99,14.29,29.54,40.27,77.13
Cyprus,94.0,150.81,63.87,70.42,51.76,58.63,8.02,21.91,54.15,90.87
Curacao,,,52.60,44.70,33.33,73.04,8.24,17.50,60.50,
Croatia,86.0,163.61,54.30,76.54,64.87,49.47,13.32,28.90,28.95,89.05
Cuba,14.0,,2.53,71.72,56.37,42.44,34.83,33.33,72.11,
Congo,,,23.59,36.37,59.03,95.68,,30.00,108.05,
Costa Rica,,119.59,44.59,44.08,63.30,53.62,9.98,62.81,48.03,99.48
Colombia,65.0,107.99,33.22,46.58,67.08,28.76,19.15,47.58,62.76,96.69
China,14.0,102.06,64.43,64.39,64.31,39.41,28.81,42.04,80.89,78.19
Chile,94.0,121.54,46.44,54.64,65.36,46.77,14.62,34.89,65.74,90.21
Cayman Islands,,,,74.04,62.04,,7.52,7.75,24.88,
Cape Verde,,,,44.12,91.67,,13.53,,,
Canada,99.0,166.22,101.12,60.12,71.52,68.51,7.89,33.77,27.81,51.80
Cameroon,22.0,,14.98,35.44,47.88,39.10,16.67,37.50,88.23,
Cambodia,30.0,53.91,12.22,48.28,49.49,47.74,42.05,27.77,81.02,59.43
Barbados,96.0,,55.45,53.08,69.95,78.81,6.67,32.50,24.88,
Bangladesh,45.0,69.82,35.96,34.41,43.60,32.80,12.41,56.67,88.43,71.29
Bahrain,12.0,128.91,61.31,68.62,64.04,59.70,8.38,30.19,71.28,64.31
Bahamas,91.0,,53.21,39.62,44.44,84.48,3.54,23.67,62.21,
Azerbaijan,12.0,98.26,29.48,67.65,41.14,30.35,17.94,42.49,78.07,91.40
Austria,94.0,185.07,86.32,76.68,79.16,71.52,10.87,25.71,21.53,77.30
Australia,98.0,189.93,114.39,58.26,79.31,73.31,7.86,34.97,23.33,94.65
Aruba,,,54.21,71.09,70.83,83.73,260.96,66.00,41.52,
Armenia,45.0,116.48,29.74,78.31,50.41,33.29,16.49,31.35,60.58,63.42
Argentina,83.0,113.36,47.94,37.56,69.52,32.95,26.06,42.83,51.58,98.28
Antigua And Barbuda,,,,32.72,,,19.93,,37.93,
Angola,26.0,,,35.74,46.60,,,56.33,97.39,
Andorra,96.0,,,85.18,80.56,,8.09,5.00,37.86,
Algeria,35.0,102.90,31.12,48.49,55.50,30.46,18.04,46.38,65.00,94.82
Albania,68.0,101.36,30.19,59.18,53.07,36.26,15.76,40.18,76.30,86.43
Aland Islands,,,120.93,76.41,87.27,74.74,3.85,19.05,10.78,
Afghanistan,26.0,,29.34,27.18,29.30,24.72,12.85,56.17,91.94,
